id,name,address,city,state,postcode,phone,email,website,adoption_url
WY81,Rest Easy My Friend Canine Rescue and Sanctuary,41 N Sage Hill,Gillette,WY,82718,(307) 363-3420,remfcr@gmail.com,https://www.petfinder.com/member/us/wy/gillette/rest-easy-my-friend-canine-rescue-and-sanctuary-wy81/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
IL916,BONAFIED,,Oregon,IL,61061,,BONAFIED@yahoo.com,https://www.petfinder.com/member/us/il/oregon/bonafied-il916/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2652,All Ears Rabbit Rescue,,Fair Oaks,CA,95628,(916) 417-2220,allearsrabbitrescue@gmail.com,https://www.petfinder.com/member/us/ca/fair-oaks/all-ears-rabbit-rescue-ca2652/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
AZ683,AGR Foundation DBA Sol Dog Lodge and Training Center,,Tucson,AZ,85705,(520) 345-0075,valerie@soldoglodge.com,https://www.petfinder.com/member/us/az/tucson/agr-foundation-dba-sol-dog-lodge-and-training-center-az683/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2774,Small Breed Rescue of Southern California,,Vista,CA,92083,(760) 456-7360,info@smallbreedrescue.org,https://www.petfinder.com/member/us/ca/vista/small-breed-rescue-of-southern-california-ca2774/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TX2361,Friends of Marshall Animals,,Marshall,TX,75672,(903) 930-7203,FOMAfosters@gmail.com,https://www.petfinder.com/member/us/tx/marshall/friends-of-marshall-animals-tx2361/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2732,"Shadow Husky Rescue, Inc.",,Menifee,CA,92586,(949) 290-3217,masterwolf@shadowhuskyrescue.com,https://www.petfinder.com/member/us/ca/menifee/shadow-husky-rescue-inc-ca2732/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
WA701,Zitch Hamster Rescue,,Vancouver,WA,98662,(360) 989-6803,zitchhamsterrescue@gmail.com,https://www.petfinder.com/member/us/wa/vancouver/zitch-hamster-rescue-wa701/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
MN451,Scooby's Animal Mission Inc.,,Aitkin,MN,56431,(218) 670-0319,scoobysanimalmission@gmail.com,https://www.petfinder.com/member/us/mn/aitkin/scoobys-animal-mission-inc-mn451/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1658,Steven's Sanctuary,,Crestview,FL,32536,,Stevenssanctuary@gmail.com,https://www.petfinder.com/member/us/fl/crestview/stevens-sanctuary-fl1658/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2689,MO4PAWS,,Palo Alto,CA,94306,(310) 383-2983,info@mo4paws.org,https://www.petfinder.com/member/us/ca/palo-alto/mo4paws-ca2689/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NC1070,Adoptions Ever After,,Pineville,NC,28134,(704) 609-4346,suzhughes0163@gmail.com,https://www.petfinder.com/member/us/nc/pineville/adoptions-ever-after-nc1070/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
PA1126,"Rock Star Animal Rescue, Inc.",,Northampton,PA,18067,,info@rockstaranimalrescue.org,https://www.petfinder.com/member/us/pa/northampton/rock-star-animal-rescue-inc-pa1126/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TN951,"Battle for the Bully ""Changing the Perception""",,Gallatin,TN,37066,(615) 821-0814,lovingthebullies@gmail.com,https://www.petfinder.com/member/us/tn/gallatin/battle-for-the-bully-changing-the-perception-tn951/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NC1079,Freedom Unchained inc.,,Turkey,NC,28393,(919) 757-4145,freedomunchainedinc@gmail.com,https://www.petfinder.com/member/us/nc/turkey/freedom-unchained-inc-nc1079/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NY1445,Camp Happy Tails NYC Inc,,Fresh Meadows,NY,11365,(516) 521-5191,camphappytailsnyc@gmail.com,https://www.petfinder.com/member/us/ny/fresh-meadows/camp-happy-tails-nyc-inc-ny1445/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
OR405,"Portland Dachshund Rescue, Inc.",,Portland,OR,97201,,jessica.renee07@gmail.com,https://www.petfinder.com/member/us/or/portland/portland-dachshund-rescue-inc-or405/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
PA1100,4 Paws Sake PA,685 Cherry Street,Milton,PA,17847,(570) 238-0364,4pawssakepa@gmail.com,https://www.petfinder.com/member/us/pa/milton/4-paws-sake-pa-pa1100/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
PA1065,TinyCause,,Vandergrift,PA,15690,,darlaheld65@gmail.com,https://www.petfinder.com/member/us/pa/vandergrift/tinycause-pa1065/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TX2350,The Forgotten Ones Animal Rescue,,Midlothian,TX,76065,,info@theforgottenonesar.org,https://www.petfinder.com/member/us/tx/midlothian/the-forgotten-ones-animal-rescue-tx2350/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
IL917,"Tails, Scales, and Feathers Animal Rescue",,Pittsfield,IL,62363,(217) 285-1312,becky.daniel9@gmail.com,https://www.petfinder.com/member/us/il/pittsfield/tails-scales-and-feathers-animal-rescue-il917/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
PA1121,The Coalition for Feral Cats of Lehigh Valley,,Nazareth,PA,18064,(484) 241-5981,p.vandever@yahoo.com,https://www.petfinder.com/member/us/pa/nazareth/the-coalition-for-feral-cats-of-lehigh-valley-pa1121/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NY1474,Zion's Mission Animal Rescue Inc.,,Far Rockaway,NY,11693,,zionsmissionanimalrescue@gmail.com,https://www.petfinder.com/member/us/ny/far-rockaway/zions-mission-animal-rescue-inc-ny1474/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
MN473,Veterinary Rescue League,,Apple Valley,MN,55124,(952) 222-8245,adopt@vetrescueleague.org,https://www.petfinder.com/member/us/mn/apple-valley/veterinary-rescue-league-mn473/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
IL954,Family Furst,,Chicago,IL,60609,(312) 685-8190,cheri@familyfurst.org,https://www.petfinder.com/member/us/il/chicago/family-furst-il954/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TX2293,Furever Welcomed Rescue ,,Industry,TX,78944,(512) 466-2582,meg_w1@yahoo.com,https://www.petfinder.com/member/us/tx/industry/furever-welcomed-rescue-tx2293/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
IL906,Hop To It Rabbit Rescue,,Lockport,IL,60441,,Hoptoitrabbitrescue@gmail.com,https://www.petfinder.com/member/us/il/lockport/hop-to-it-rabbit-rescue-il906/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
ON590,4Champ Animal Rescue,,Hanmer,ON,P3P 1Y8,,4champanimalrescue@gmail.com,https://www.petfinder.com/member/ca/on/hanmer/4champ-animal-rescue-on590/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TX2456,Journey Home Rescue,,Temple,TX,76504,(254) 721-4264,journeyhomerescuetexas@gmail.com,https://www.petfinder.com/member/us/tx/temple/journey-home-rescue-tx2456/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
GA993,"Hearts 'n Homes Rescue, Inc.",,Sharpsburg,GA,30277,(928) 533-8643,sbschmid1121@gmail.com,https://www.petfinder.com/member/us/ga/sharpsburg/hearts-n-homes-rescue-inc-ga993/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
VA813,Fierce Love Rescue,,Stephens City,VA,22655,(540) 227-7077,contactFLR@fierceloverescue.org,https://www.petfinder.com/member/us/va/stephens-city/fierce-love-rescue-va813/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
IL918,Mutts of the Midway,PO Box 388187,Chicago,IL,60638,(773) 234-8607,muttsofthemidway@gmail.com,https://www.petfinder.com/member/us/il/chicago/mutts-of-the-midway-il918/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
WV225,Operation Press Paws,,Martinsburg,WV,25404,,operationpresspaws@gmail.com,https://www.petfinder.com/member/us/wv/martinsburg/operation-press-paws-wv225/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
WI513,Apple Valley Pit Crew,,Appleton,WI,54915,,taylor.j.mandich@gmail.com,https://www.petfinder.com/member/us/wi/appleton/apple-valley-pit-crew-wi513/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
MA545,"Rex Rescue, Inc.",,Brighton,MA,02135,,rexrescue.inc@gmail.com,https://www.petfinder.com/member/us/ma/brighton/rex-rescue-inc-ma545/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
AB135,Wetaskiwin Animal Shelter,,wetaskiwin,AB,t9a 2j4,(780) 352-7006,wetaskiwinpetcentre@gmail.com,https://www.petfinder.com/member/ca/ab/wetaskiwin/wetaskiwin-animal-shelter-ab135/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2748,Devotion to Dogs,,El Cajon,CA,92020,(619) 500-4787,clientservices@devotiontodogs.net,https://www.petfinder.com/member/us/ca/el-cajon/devotion-to-dogs-ca2748/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
SC529,Little Carolina Paws Rescue,,West Columbia,SC,29169,,adoptions@lcprescue.org,https://www.petfinder.com/member/us/sc/west-columbia/little-carolina-paws-rescue-sc529/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
TN949,Appalachian Tails Rescue,,Elizabethton,TN,37643,(423) 957-0243,robin.mckamey@ecschools.net,https://www.petfinder.com/member/us/tn/elizabethton/appalachian-tails-rescue-tn949/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2598,Animal Lives Matter Inc,,Indio,CA,92203,(818) 903-7858,almsaveslives@gmail.com,https://www.petfinder.com/member/us/ca/indio/animal-lives-matter-inc-ca2598/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
MS219,CARES (Clarksdale Animal Rescue Effort & Shelter),,Clarksdale,MS,38614,(662) 627-7870,CaresClarksdale@gmail.com,https://www.petfinder.com/member/us/ms/clarksdale/cares-clarksdale-animal-rescue-effort-and-shelter-ms219/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
OR402,Pawsitively Saved Rescue,,Newberg,OR,97132,,Applications@pawsitivelysavedrescue.org,https://www.petfinder.com/member/us/or/newberg/pawsitively-saved-rescue-or402/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
LA396,West Baton Rouge Animal Shelter and Animal Control,,Port Allen,LA,70767,(225) 336-2428,animalcontrol@wbrcouncil.org,https://www.petfinder.com/member/us/la/port-allen/west-baton-rouge-animal-shelter-and-animal-control-la396/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NM227,Bridges to Home,,Albuquerque,NM,87154,,BTHadoptions@gmail.com,https://www.petfinder.com/member/us/nm/albuquerque/bridges-to-home-nm227/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
AZ638,Forever Loving Hearts Rescue,,El Mirage,AZ,85335,(623) 986-5066,ForeverLovingHeartsRescue@hotmail.com,https://www.petfinder.com/member/us/az/el-mirage/forever-loving-hearts-rescue-az638/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
MI1056,Mitten Mutts Dog Rescue,,Saginaw,MI,48603,(248) 531-8314,mittenmuttsdogrescue@gmail.com,https://www.petfinder.com/member/us/mi/saginaw/mitten-mutts-dog-rescue-mi1056/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
PA1104,PA Caring Hearts,,Breinigsville,PA,18031,(484) 877-6624,caringheartspa@yahoo.com,https://www.petfinder.com/member/us/pa/breinigsville/pa-caring-hearts-pa1104/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2729,"Happier Tails Rescue, Inc.",,YORBA LINDA,CA,92887,(714) 222-7169,happiertailsrescue@gmail.com,https://www.petfinder.com/member/us/ca/yorba-linda/happier-tails-rescue-inc-ca2729/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
NC1093,For Our Underdogs Refuge,106 Oakridge Ave #58287,fayetteville,NC,28305,,inquiry@fouron.org,https://www.petfinder.com/member/us/nc/fayetteville/for-our-underdogs-refuge-nc1093/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2657,Socks and Paws Animal Rescue,,Ridgecrest,CA,93555,,socksandpawsanimalrescue@gmail.com,https://www.petfinder.com/member/us/ca/ridgecrest/socks-and-paws-animal-rescue-ca2657/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1635,Wags to Riches Rescue Inc.,,Weeki Wachee,FL,34613,(352) 584-7836,w2riches@yahoo.com,https://www.petfinder.com/member/us/fl/weeki-wachee/wags-to-riches-rescue-inc-fl1635/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2777,TLC K9 Rescue,,Escondido,CA,92027,(760) 580-1200,tlck9rescue@yahoo.com,https://www.petfinder.com/member/us/ca/escondido/tlc-k9-rescue-ca2777/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
AL458,Kitty Kottage,131 East Selma St,Dothan,AL,36301,(334) 797-4521,kittykottagedothan@yahoo.com,https://www.petfinder.com/member/us/al/dothan/kitty-kottage-al458/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2763,"TLC Adoptions, Inc",,Torrance,CA,90505,(310) 766-5640,drpierson2@catinfo.org,https://www.petfinder.com/member/us/ca/torrance/tlc-adoptions-inc-ca2763/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
FL1561,METTA Rescue Family,,Deltona,FL,32738,,info@mettarescuefamily.org,https://www.petfinder.com/member/us/fl/deltona/metta-rescue-family-fl1561/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
OR396,Soft Paws Rescue and Rehabilitation- Oregon Branch,,Bend,OR,97701,,softpawsrescueor@gmail.com,https://www.petfinder.com/member/us/or/bend/soft-paws-rescue-and-rehabilitation-oregon-branch-or396/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
KS307,Riverview Rescue,1400 South Esplanade Street,Leavenworth,KS,66048,(913) 682-2269,Adoptions@riverviewrescue.org,https://www.petfinder.com/member/us/ks/leavenworth/riverview-rescue-ks307/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
CA2640,Strength of Shadow Dog Rescue,PO Box 97,Bodfish,CA,93205,,adopt@strengthofshadow.org,https://www.petfinder.com/member/us/ca/bodfish/strength-of-shadow-dog-rescue-ca2640/?referrer_id=6e858132-60a4-455c-b1f7-e47ad4cfbb4f,
